SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10095,ERCOT,ONCOR,,83,10095,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,95,Y
10096,ERCOT,ONCOR,,87,10096,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,96,Y
10097,ERCOT,ONCOR,,98,10097,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,97,Y
10098,ERCOT,ONCOR,,11,10098,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,98,Y
10099,ERCOT,ONCOR,,12,10099,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,99,Y
10100,ERCOT,ONCOR,,13,10100,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,100,Y
10101,ERCOT,ONCOR,,14,10101,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,101,Y
10102,ERCOT,ONCOR,,81,10102,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,102,Y
10103,ERCOT,ONCOR,,85,10103,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,103,Y
10105,ERCOT,ONCOR,,10,10105,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,105,Y
10106,ERCOT,ONCOR,,17,10106,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,106,Y
10107,ERCOT,ONCOR,,20,10107,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,107,Y
10111,ERCOT,ONCOR,,79,10111,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0,111,Y
