,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
94,49271,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4371,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
95,49272,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4372,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
96,49273,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4373,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
97,49275,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4375,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
98,49276,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4376,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
99,49277,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4377,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
100,49278,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4378,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
101,49279,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4379,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
102,49280,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4380,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
103,49311,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4411,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
104,49315,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4415,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
105,49317,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4417,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
106,49320,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4420,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
107,49323,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4423,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
108,49334,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,4434,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
109,49335,ERCOT,ONCOR,,ERCOT_BUS,IDR,A,SECONDARY,TX,0.0,4435,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
110,49336,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4436,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
111,49337,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4437,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
112,49338,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4438,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
113,49339,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4439,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
114,49340,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4440,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
115,49341,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4441,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
116,49342,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4442,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
117,49343,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4443,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
118,49344,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4444,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
119,49345,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4445,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
120,49346,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4446,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
