Utility Name,Rate Name,Description,Commodity,Voltage,Business Type,Loss Factor,Profile
AEP_OH_CS,AEP_OH_CS_RC_217,"General Service, Schedule GS-2-Low Load Factor",Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_218,"General Service, Schedule GS-2-Low Load Factor",Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_219,"General Service, Schedule GS-2-Low Load Factor",Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_220,"General Service, Schedule GS-2 TOD,  Load Mgmt",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_221,"General Service, Schedule GS-2 TOD,  Load Mgmt-School",Power,Secondary,Sch-Univ,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_222,"General Service, Schedule GS-2 TOD,  Load Mgmt-FED",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_224,"General Service Small, Schedule GS-1, Load Mgmt TOD",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_226,"General Service Small, Schedule GS-1, Load Mgmt TOD-FED",Power,Secondary,GenSvc-Sm,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_227,General Service- Low Load Factor-School,Power,Secondary,Sch-Univ,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_228,"General Service, Schedule GS-2 TOD",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_230,"General Service, Schedule GS-2 TOD-FED",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_231,General Service-Low Load Factor-Secondary-Agricultural,Power,Secondary,Agriculture,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_232,General Service-Low Load Factor-Primary-Agricultural,Power,Primary,Agriculture,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_233,"General Service Medium, Schedule GS-3-School",Power,Secondary,Sch-Univ,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_234,General Service- Low Load Factor-Primary-School,Power,Primary,Sch-Univ,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_240,"General Service Medium, Schedule GS-3",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_241,"General Service Medium, Schedule GS-3, Supp, #18",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_242,"General Service Medium, Schedule GS-3-FED",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_250,"General Service Medium, Schedule GS-3, Load Mgmt TOD",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_252,"General Service Medium, Schedule GS-3, Load Mgmt TOD-FED",Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_254,General Service-Medium Load Factor-Primary-Agricultural,Power,Primary,Agriculture,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_255,GENERAL SERVICE-MEDIUM LF-SECONDARY - AGRICULTURE,Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
