CUSTOMERNAME,CUSTOMERID,LDC_ACCOUNT,ACCOUNTID,JURISCODE,PROFILECODE,METERTYPE,LOSSCODE,ZONECODE,STARTTIME,STOPTIME,USAGE,PEAK,CAPTAG_STARTTIME,CAPTAG_STOPTIME,CAPTAG_DELTA,CUR_CAPTAG
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005870921560013321,PJM_ATSICE_08005870921560013321,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"12,108.64",5.69,6/1/18,5/31/2019,-1.6996,4.2441
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037532101670000261,PJM_ATSICE_08037532101670000261,OH,CE_C3,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"1,782,928.18",466.65,6/1/18,5/31/2019,-155.4913,343.2202
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037523950000969510,PJM_ATSIOE_08037523950000969510,OH,OE_C3,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"1,037,674.87",264.10,6/1/18,5/31/2019,-42.2123,221.9777
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037544460000445660,PJM_ATSIOE_08037544460000445660,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"81,872.12",24.80,6/1/18,5/31/2019,-4.0576,14.9291
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08007045420001506179,PJM_ATSIOE_08007045420001506179,OH,OE_C3,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"38,694.67",11.85,6/1/18,5/31/2019,-0.1270,6.2232
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037529490001527271,PJM_ATSIOE_08037529490001527271,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"1,509,630.57",521.25,6/1/18,5/31/2019,-87.4793,335.451
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005957855000055265,PJM_ATSICE_08005957855000055265,OH,CE_SL,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"40,981.36",12.77,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037517274000001281,PJM_ATSICE_08037517274000001281,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"1,900.46",0.45,6/1/18,5/31/2019,-0.1768,0.2506
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08022342805000019234,PJM_ATSIOE_08022342805000019234,OH,OE_SL,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"2,526.90",0.81,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037511625000013749,PJM_ATSIOE_08037511625000013749,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"86,277.98",59.93,6/1/18,5/31/2019,-2.8267,5.7439
